Index,Sample_Value,Label
663,117,raw_audio
664,119,raw_audio
665,121,raw_audio
666,120,raw_audio
667,118,raw_audio
668,119,raw_audio
669,122,raw_audio
670,120,raw_audio
671,109,raw_audio
672,111,raw_audio
673,133,raw_audio
674,127,raw_audio
675,119,raw_audio
676,122,raw_audio
677,121,raw_audio
678,120,raw_audio
679,119,raw_audio
680,121,raw_audio
681,119,raw_audio
682,121,raw_audio
683,121,raw_audio
684,119,raw_audio
685,121,raw_audio
686,120,raw_audio
687,112,raw_audio
688,108,raw_audio
689,130,raw_audio
690,128,raw_audio
691,118,raw_audio
692,120,raw_audio
693,123,raw_audio
694,122,raw_audio
695,121,raw_audio
696,119,raw_audio
697,121,raw_audio
698,122,raw_audio
699,121,raw_audio
700,121,raw_audio
701,121,raw_audio
702,121,raw_audio
703,117,raw_audio
704,106,raw_audio
705,128,raw_audio
706,128,raw_audio
707,118,raw_audio
708,122,raw_audio
709,126,raw_audio
710,124,raw_audio
711,121,raw_audio
712,121,raw_audio
713,122,raw_audio
714,122,raw_audio
715,122,raw_audio
716,121,raw_audio
717,121,raw_audio
718,121,raw_audio
719,119,raw_audio
720,105,raw_audio
721,125,raw_audio
722,130,raw_audio
723,119,raw_audio
724,118,raw_audio
725,122,raw_audio
726,121,raw_audio
727,119,raw_audio
728,120,raw_audio
729,120,raw_audio
730,120,raw_audio
731,121,raw_audio
732,122,raw_audio
733,122,raw_audio
734,121,raw_audio
735,120,raw_audio
736,103,raw_audio
737,122,raw_audio
738,132,raw_audio
739,120,raw_audio
740,117,raw_audio
741,123,raw_audio
742,124,raw_audio
743,120,raw_audio
744,118,raw_audio
745,121,raw_audio
746,122,raw_audio
747,121,raw_audio
748,121,raw_audio
749,121,raw_audio
750,121,raw_audio
751,121,raw_audio
752,103,raw_audio
753,120,raw_audio
754,132,raw_audio
755,121,raw_audio
756,118,raw_audio
757,122,raw_audio
758,122,raw_audio
759,120,raw_audio
760,119,raw_audio
761,121,raw_audio
762,123,raw_audio
763,121,raw_audio
764,120,raw_audio
765,119,raw_audio
766,122,raw_audio
767,121,raw_audio
768,105,raw_audio
769,117,raw_audio
770,134,raw_audio
771,125,raw_audio
772,119,raw_audio
773,122,raw_audio
774,122,raw_audio
775,120,raw_audio
776,118,raw_audio
777,121,raw_audio
778,121,raw_audio
779,121,raw_audio
780,119,raw_audio
781,121,raw_audio
782,121,raw_audio
783,120,raw_audio
784,106,raw_audio
785,113,raw_audio
786,133,raw_audio
787,125,raw_audio
788,120,raw_audio
789,120,raw_audio
790,120,raw_audio
791,119,raw_audio
792,118,raw_audio
793,121,raw_audio
794,119,raw_audio
795,119,raw_audio
796,119,raw_audio
797,118,raw_audio
798,118,raw_audio
799,118,raw_audio
800,110,raw_audio
801,108,raw_audio
802,128,raw_audio
803,123,raw_audio
804,117,raw_audio
805,121,raw_audio
806,120,raw_audio
807,118,raw_audio
808,119,raw_audio
809,120,raw_audio
810,119,raw_audio
811,119,raw_audio
812,122,raw_audio
813,120,raw_audio
814,119,raw_audio
815,121,raw_audio
816,116,raw_audio
817,109,raw_audio
818,131,raw_audio
819,131,raw_audio
820,119,raw_audio
821,122,raw_audio
822,123,raw_audio
823,121,raw_audio
824,120,raw_audio
825,118,raw_audio
826,120,raw_audio
827,120,raw_audio
828,119,raw_audio
829,121,raw_audio
830,121,raw_audio
831,120,raw_audio
832,115,raw_audio
833,106,raw_audio
834,128,raw_audio
835,128,raw_audio
836,117,raw_audio
837,121,raw_audio
838,124,raw_audio
839,122,raw_audio
840,119,raw_audio
841,120,raw_audio
842,119,raw_audio
843,121,raw_audio
844,121,raw_audio
845,120,raw_audio
846,118,raw_audio
847,120,raw_audio
848,119,raw_audio
849,104,raw_audio
850,124,raw_audio
851,131,raw_audio
